play,a_cards,b_cards,table_cards,a_share,b_share,event
0,20,20,0,0.5,0.5,开局
1,20,19,1,0.5,0.475,普通出牌
2,23,15,2,0.575,0.375,特殊牌转移 4 张
3,25,15,0,0.625,0.375,同点收走 3 张
4,25,15,0,0.625,0.375,J 收桌面
5,24,15,1,0.6,0.375,普通出牌
6,24,14,2,0.6,0.35,普通出牌
7,23,14,3,0.575,0.35,普通出牌
8,20,16,4,0.5,0.4,特殊牌转移 3 张
9,20,15,5,0.5,0.375,普通出牌
10,22,12,6,0.55,0.3,特殊牌转移 3 张
11,23,10,7,0.575,0.25,特殊牌转移 2 张
12,24,8,8,0.6,0.2,特殊牌转移 2 张
13,31,8,1,0.775,0.2,同点收走 8 张
14,32,8,0,0.8,0.2,同点收走 2 张
15,31,8,1,0.775,0.2,普通出牌
16,31,7,2,0.775,0.175,普通出牌
17,30,7,3,0.75,0.175,普通出牌
18,30,6,4,0.75,0.15,普通出牌
19,29,6,5,0.725,0.15,普通出牌
20,29,11,0,0.725,0.275,同点收走 6 张
21,24,15,1,0.6,0.375,特殊牌转移 5 张
22,24,14,2,0.6,0.35,普通出牌
23,23,14,3,0.575,0.35,普通出牌
24,23,13,4,0.575,0.325,普通出牌
25,26,13,1,0.65,0.325,同点收走 4 张
26,25,13,2,0.625,0.325,普通出牌
27,25,15,0,0.625,0.375,J 收桌面
28,25,14,1,0.625,0.35,普通出牌
29,24,14,2,0.6,0.35,普通出牌
30,24,15,1,0.6,0.375,同点收走 2 张
31,24,14,2,0.6,0.35,普通出牌
32,27,10,3,0.675,0.25,特殊牌转移 4 张
33,26,10,4,0.65,0.25,普通出牌
34,26,9,5,0.65,0.225,普通出牌
35,31,9,0,0.775,0.225,J 收桌面
36,30,9,1,0.75,0.225,普通出牌
37,27,11,2,0.675,0.275,特殊牌转移 3 张
38,27,13,0,0.675,0.325,J 收桌面
39,25,14,1,0.625,0.35,特殊牌转移 2 张
40,25,13,2,0.625,0.325,普通出牌
41,24,13,3,0.6,0.325,普通出牌
42,19,17,4,0.475,0.425,特殊牌转移 5 张
43,19,16,5,0.475,0.4,普通出牌
44,20,14,6,0.5,0.35,特殊牌转移 2 张
45,21,12,7,0.525,0.3,特殊牌转移 2 张
46,20,12,8,0.5,0.3,普通出牌
47,20,11,9,0.5,0.275,普通出牌
48,27,11,2,0.675,0.275,同点收走 8 张
49,26,11,3,0.65,0.275,普通出牌
50,26,14,0,0.65,0.35,J 收桌面
51,26,13,1,0.65,0.325,普通出牌
52,25,13,2,0.625,0.325,普通出牌
53,22,15,3,0.55,0.375,特殊牌转移 3 张
54,22,18,0,0.55,0.45,J 收桌面
55,22,17,1,0.55,0.425,普通出牌
56,21,17,2,0.525,0.425,普通出牌
57,21,18,1,0.525,0.45,同点收走 2 张
58,21,17,2,0.525,0.425,普通出牌
59,22,17,1,0.55,0.425,同点收走 2 张
60,21,17,2,0.525,0.425,普通出牌
61,21,16,3,0.525,0.4,普通出牌
62,20,16,4,0.5,0.4,普通出牌
63,17,18,5,0.425,0.45,特殊牌转移 3 张
64,17,23,0,0.425,0.575,同点收走 6 张
65,14,25,1,0.35,0.625,特殊牌转移 3 张
66,12,26,2,0.3,0.65,特殊牌转移 2 张
67,12,25,3,0.3,0.625,普通出牌
68,11,25,4,0.275,0.625,普通出牌
69,11,24,5,0.275,0.6,普通出牌
70,10,24,6,0.25,0.6,普通出牌
71,10,30,0,0.25,0.75,J 收桌面
72,10,29,1,0.25,0.725,普通出牌
73,9,29,2,0.225,0.725,普通出牌
74,9,28,3,0.225,0.7,普通出牌
75,13,23,4,0.325,0.575,特殊牌转移 5 张
76,12,23,5,0.3,0.575,普通出牌
77,12,22,6,0.3,0.55,普通出牌
78,13,20,7,0.325,0.5,特殊牌转移 2 张
79,14,18,8,0.35,0.45,特殊牌转移 2 张
80,13,18,9,0.325,0.45,普通出牌
81,13,17,10,0.325,0.425,普通出牌
82,12,17,11,0.3,0.425,普通出牌
83,12,26,2,0.3,0.65,同点收走 10 张
84,12,25,3,0.3,0.625,普通出牌
85,14,25,1,0.35,0.625,同点收走 3 张
86,13,25,2,0.325,0.625,普通出牌
87,13,24,3,0.325,0.6,普通出牌
88,15,24,1,0.375,0.6,同点收走 3 张
89,14,24,2,0.35,0.6,普通出牌
90,11,26,3,0.275,0.65,特殊牌转移 3 张
91,11,25,4,0.275,0.625,普通出牌
92,15,25,0,0.375,0.625,J 收桌面
93,14,25,1,0.35,0.625,普通出牌
94,14,24,2,0.35,0.6,普通出牌
95,13,24,3,0.325,0.6,普通出牌
96,13,27,0,0.325,0.675,同点收走 4 张
97,13,27,0,0.325,0.675,J 收桌面
98,13,27,0,0.325,0.675,J 收桌面
99,13,26,1,0.325,0.65,普通出牌
100,12,26,2,0.3,0.65,普通出牌
101,9,28,3,0.225,0.7,特殊牌转移 3 张
102,7,29,4,0.175,0.725,特殊牌转移 2 张
103,7,28,5,0.175,0.7,普通出牌
104,12,28,0,0.3,0.7,同点收走 6 张
105,11,28,1,0.275,0.7,普通出牌
106,11,27,2,0.275,0.675,普通出牌
107,10,27,3,0.25,0.675,普通出牌
108,10,26,4,0.25,0.65,普通出牌
109,9,26,5,0.225,0.65,普通出牌
110,9,25,6,0.225,0.625,普通出牌
111,11,22,7,0.275,0.55,特殊牌转移 3 张
112,13,22,5,0.325,0.55,同点收走 3 张
113,18,22,0,0.45,0.55,J 收桌面
114,17,22,1,0.425,0.55,普通出牌
115,17,21,2,0.425,0.525,普通出牌
116,16,21,3,0.4,0.525,普通出牌
117,16,20,4,0.4,0.5,普通出牌
118,18,17,5,0.45,0.425,特殊牌转移 3 张
119,19,15,6,0.475,0.375,特殊牌转移 2 张
120,18,15,7,0.45,0.375,普通出牌
121,18,14,8,0.45,0.35,普通出牌
122,26,14,0,0.65,0.35,同点收走 9 张
123,26,14,0,0.65,0.35,J 收桌面
124,25,14,1,0.625,0.35,普通出牌
125,25,13,2,0.625,0.325,普通出牌
126,29,8,3,0.725,0.2,特殊牌转移 5 张
127,28,8,4,0.7,0.2,普通出牌
128,28,7,5,0.7,0.175,普通出牌
129,30,4,6,0.75,0.1,特殊牌转移 3 张
130,33,4,3,0.825,0.1,同点收走 4 张
131,32,4,4,0.8,0.1,普通出牌
132,32,3,5,0.8,0.075,普通出牌
133,31,3,6,0.775,0.075,普通出牌
134,31,2,7,0.775,0.05,普通出牌
135,37,2,1,0.925,0.05,同点收走 7 张
136,36,2,2,0.9,0.05,普通出牌
137,36,3,1,0.9,0.075,同点收走 2 张
138,36,2,2,0.9,0.05,普通出牌
139,35,2,3,0.875,0.05,普通出牌
140,35,1,4,0.875,0.025,普通出牌
141,39,1,0,0.975,0.025,J 收桌面
142,39,0,1,0.975,0.0,特殊牌转移 1 张
