experiment,parameter_1,value_1,parameter_2,value_2,total_flow,major_share,mode,replications,mean_delay,p95_delay,throughput,end_queue,max_approach_delay,delay_gini,conflict_exposures_per_1000,ambiguity_events_per_1000,pedestrian_blocks_per_1000
crossover,left_turn_share,0.0,,,900,0.5,AWSC,24,4.9689,9.5504,894.9167,1.5417,5.1517,0.0158,136.4346,0.0,0.0
crossover,left_turn_share,0.0,,,900,0.5,Signal,24,13.6879,38.1528,893.2917,0.0,14.7268,0.031,0.0,0.0,0.0
crossover,left_turn_share,0.0,,,1000,0.5,AWSC,24,5.4042,10.5039,1007.9167,1.3333,5.6027,0.0147,145.7399,0.0,0.0
crossover,left_turn_share,0.0,,,1000,0.5,Signal,24,14.0854,38.288,1005.8333,0.0,15.0437,0.0268,0.0,0.0,0.0
crossover,left_turn_share,0.0,,,1100,0.5,AWSC,24,5.842,11.7817,1101.375,2.125,6.0686,0.0156,163.6759,0.0,0.0
crossover,left_turn_share,0.0,,,1100,0.5,Signal,24,14.3497,38.3187,1099.1667,0.0,15.3461,0.0274,0.0,0.0,0.0
crossover,left_turn_share,0.0,,,1200,0.5,AWSC,24,6.3946,12.9133,1201.0417,1.9167,6.6632,0.0167,177.0035,0.0,0.0
crossover,left_turn_share,0.0,,,1200,0.5,Signal,24,14.4782,38.4479,1199.0833,0.0,15.5074,0.0283,0.0,0.0,0.0
crossover,left_turn_share,0.0,,,1300,0.5,AWSC,24,7.2754,15.0518,1312.375,3.4583,7.5024,0.0133,187.2018,0.0,0.0
crossover,left_turn_share,0.0,,,1300,0.5,Signal,24,14.789,38.4076,1310.375,0.0,15.887,0.0319,0.0,0.0,0.0
crossover,left_turn_share,0.0,,,1400,0.5,AWSC,24,8.2737,17.8514,1400.0417,3.8333,8.5485,0.014,199.5208,0.0,0.0
crossover,left_turn_share,0.0,,,1400,0.5,Signal,24,15.3014,38.6068,1398.0,0.0,16.2102,0.0242,0.0,0.0,0.0
crossover,left_turn_share,0.0,,,1500,0.5,AWSC,24,10.3247,22.5349,1488.2917,5.0417,10.5919,0.0114,210.8105,0.0,0.0
crossover,left_turn_share,0.0,,,1500,0.5,Signal,24,15.2146,38.5337,1487.75,0.0,16.2178,0.0266,0.0,0.0,0.0
crossover,left_turn_share,0.0,,,1600,0.5,AWSC,24,13.6787,31.2196,1596.7083,6.5,14.1602,0.0142,226.6259,0.0,0.0
crossover,left_turn_share,0.0,,,1600,0.5,Signal,24,15.6032,38.7791,1597.2083,0.0,16.3795,0.0207,0.0,0.0,0.0
crossover,left_turn_share,0.0,,,1700,0.5,AWSC,24,24.2507,51.4656,1696.7917,12.125,24.8938,0.0121,238.3189,0.0,0.0
crossover,left_turn_share,0.0,,,1700,0.5,Signal,24,15.9821,38.8665,1702.6667,0.0,16.7642,0.0213,0.0,0.0,0.0
crossover,left_turn_share,0.0,,,1800,0.5,AWSC,24,77.2427,129.7657,1761.25,49.1667,78.9607,0.0092,249.284,0.0,0.0
crossover,left_turn_share,0.0,,,1800,0.5,Signal,24,16.3186,39.0785,1803.5,0.0,17.1691,0.0204,0.0,0.0,0.0
