total_flow,major_share,mode,mean_delay,ci_low,ci_high,p95_delay,throughput,end_queue,max_approach_delay,delay_gini,replications
200,0.5,AWSC,3.897,3.869,3.925,5.881,200.45,0.2,4.072,0.0172,40
200,0.5,Signal,13.208,12.92,13.496,38.352,199.925,0.0,15.448,0.0717,40
400,0.5,AWSC,4.098,4.066,4.13,6.851,402.3,0.425,4.249,0.0149,40
400,0.5,Signal,13.848,13.659,14.037,38.617,401.5,0.0,15.142,0.0404,40
600,0.5,AWSC,4.461,4.424,4.498,7.897,607.3,0.85,4.617,0.0144,40
600,0.5,Signal,14.152,13.961,14.344,38.752,606.125,0.0,15.331,0.0365,40
800,0.5,AWSC,4.942,4.899,4.985,9.25,794.425,1.25,5.103,0.0133,40
800,0.5,Signal,14.488,14.307,14.67,38.931,792.675,0.0,15.808,0.0365,40
1000,0.5,AWSC,5.781,5.715,5.846,11.283,1001.15,1.475,5.963,0.0128,40
1000,0.5,Signal,15.147,14.989,15.306,39.156,998.925,0.0,16.161,0.0285,40
1200,0.5,AWSC,7.061,6.908,7.214,14.666,1197.375,2.175,7.307,0.0146,40
1200,0.5,Signal,15.68,15.535,15.824,39.581,1195.325,0.0,16.684,0.0264,40
1400,0.5,AWSC,9.928,9.629,10.227,21.41,1402.1,3.125,10.278,0.0143,40
1400,0.5,Signal,16.289,16.121,16.457,39.696,1400.475,0.0,17.265,0.0246,40
1600,0.5,AWSC,22.521,19.528,25.514,49.427,1596.875,9.8,23.284,0.0134,40
1600,0.5,Signal,16.935,16.814,17.057,39.912,1600.925,0.0,17.91,0.0242,40
1800,0.5,AWSC,154.201,136.397,172.006,236.354,1677.675,120.825,157.114,0.0076,40
1800,0.5,Signal,17.609,17.478,17.739,40.203,1792.025,0.05,18.515,0.0212,40
2000,0.5,AWSC,393.632,374.063,413.201,624.627,1634.125,356.7,400.281,0.0069,40
2000,0.5,Signal,18.521,18.307,18.735,40.669,1982.925,0.1,19.696,0.025,40
2200,0.5,AWSC,585.589,571.851,599.326,949.728,1591.975,604.0,597.027,0.008,40
2200,0.5,Signal,20.281,20.066,20.496,41.924,2185.7,0.125,21.552,0.0252,40
2400,0.5,AWSC,764.303,750.432,778.174,1244.056,1543.475,863.45,777.571,0.0076,40
2400,0.5,Signal,22.563,22.219,22.907,46.955,2394.85,0.125,25.088,0.0426,40
2600,0.5,AWSC,911.782,898.738,924.825,1486.87,1485.1,1111.9,926.808,0.0069,40
2600,0.5,Signal,27.043,26.403,27.684,61.299,2579.9,0.85,31.844,0.0625,40
200,0.6,AWSC,3.858,3.826,3.89,5.702,198.45,0.275,4.012,0.0162,40
200,0.6,Signal,12.672,12.379,12.966,38.556,198.35,0.0,18.404,0.1543,40
400,0.6,AWSC,4.075,4.048,4.102,6.781,402.1,0.375,4.241,0.0156,40
400,0.6,Signal,13.316,13.123,13.508,39.496,401.775,0.0,18.55,0.1432,40
600,0.6,AWSC,4.47,4.426,4.514,8.017,600.9,0.925,4.661,0.0167,40
600,0.6,Signal,13.744,13.562,13.926,39.993,600.125,0.0,18.911,0.1375,40
800,0.6,AWSC,4.984,4.937,5.032,9.434,803.0,1.175,5.184,0.0151,40
800,0.6,Signal,14.169,14.033,14.305,40.324,801.975,0.0,19.321,0.1345,40
1000,0.6,AWSC,5.712,5.623,5.801,11.306,1000.65,1.7,5.95,0.016,40
1000,0.6,Signal,14.521,14.392,14.651,40.082,999.625,0.0,19.708,0.1278,40
1200,0.6,AWSC,7.078,6.929,7.227,14.748,1191.375,2.25,7.368,0.016,40
1200,0.6,Signal,15.103,14.964,15.242,40.693,1190.375,0.0,20.02,0.1223,40
1400,0.6,AWSC,10.094,9.722,10.465,22.788,1406.45,3.325,10.45,0.0135,40
